"CHARACTER DESCRIPTION"
"Prison guard"

"","","","","DIA_GuardGate_Nadzorca_WHEREAREYOUGO"
"Prison guard","Warum läufst du hier mit dem Essen herum? Das musst du an die Gefangenen verteilen.                                                                                                                     ","DIA_GuardGate_Nadzorca_WHEREAREYOUGO_03_01"
"Romulus","","Ich dachte, du wärst hungrig.                                                                                                                     ","DIA_GuardGate_Nadzorca_WHEREAREYOUGO_15_02"
"Prison guard","Du solltest Essen an die Gefangenen verteilen. Was machst du hier?                                                                                                                     ","DIA_GuardGate_Nadzorca_WHEREAREYOUGO_03_03"
"Romulus","","Ich war das Essen holen.                                                                                                                     ","DIA_GuardGate_Nadzorca_WHEREAREYOUGO_15_04"
"Prison guard","Im Zimmer des Direktors?                                                                                                                     ","DIA_GuardGate_Nadzorca_WHEREAREYOUGO_03_05"
"Prison guard","Sehr lustig!                                                                                                                     ","DIA_GuardGate_Nadzorca_WHEREAREYOUGO_03_06"

"","","","","DIA_GuardGate_Nadzorca_WHEREAREYOUGOSHARKS"
"Prison guard","Ich habe gehört, dass du die Kanalisation von Schlangen befreien sollst!                                                                                                                     ","DIA_GuardGate_Nadzorca_WHEREAREYOUGOSHARKS_03_01"
"Romulus","","Genau                                                                                                                     ","DIA_GuardGate_Nadzorca_WHEREAREYOUGOSHARKS_15_02"

"","","","",""

