"CHARACTER DESCRIPTION"
"On the king's orders, Proxemo -  the owner of the arena in Gladiator's Bay - slaughtered the inhabitants of the village where Romulus lived. Everyone including him resisted the attackers, but they decided to capture him because he looked strong. He is not reconciled to his predicament, and wants revenge - on Proxemo and then on the king. He is confident, sometimes arrogant. Sometimes he gets out of control and explodes."

"","","","DIA_CityPlatnerz_ZBROJECZKA"
"Romulus","Ich möchte eine Rüstung kaufen.                                                                                                                     ","DIA_CityPlatnerz_ZBROJECZKA_15_01"

"","","","DIA_CityPlatnerz_TARCZYSKO"
"Romulus","Ich möchte einen Schild kaufen.                                                                                                                     ","DIA_CityPlatnerz_TARCZYSKO_15_01"

"","","","DIA_CityPlatnerz_HELMISZKI"
"Romulus","Ich möchte einen Helm kaufen.                                                                                                                     ","DIA_CityPlatnerz_HELMISZKI_15_01"

"","","","DIA_CityKaplan_HELLO1"
"Mage","","Oh, jemand will mehr als nur Unterhaltung.                                                                                                                     ","DIA_CityKaplan_HELLO1_03_01"
"Romulus","Hallo Magier.                                                                                                                     ","DIA_CityKaplan_HELLO1_15_02"
"Mage","","Hallo. Du siehst aus wie ein Gladiator.                                                                                                                     ","DIA_CityKaplan_HELLO1_03_03"
"Romulus","Richtig.                                                                                                                     ","DIA_CityKaplan_HELLO1_15_04"

"","","","DIA_Kaplan_HELLO1"
"Mage","","Alles zum Thema Magie findest du hier.                                                                                                                     ","DIA_Kaplan_HELLO1_03_09"
"Romulus","Ich werde daran denken.                                                                                                                     ","DIA_Kaplan_HELLO1_15_10"
"Mage","","Oh! Ein neues Gesicht.                                                                                                                     ","DIA_Kaplan_HELLO1_03_01"
"Mage","","Ich freue mich, dich in meiner Kapelle begrüßen zu dürfen!                                                                                                                     ","DIA_Kaplan_HELLO1_03_02"
"Romulus","Hallo Magier.                                                                                                                     ","DIA_Kaplan_HELLO1_15_03"
"Mage","","Bist du ein Gladiator?                                                                                                                     ","DIA_Kaplan_HELLO1_03_05"
"Romulus","Ja das bin ich, Champion.                                                                                                                     ","DIA_Kaplan_HELLO1_15_06"
"Mage","","Das dachte ich mir, nun ja, immer mehr Menschen opfern ihr Leben in der Arena, um Geld zu verdienen…                                                                                                                     ","DIA_Kaplan_HELLO1_03_07"
"Mage","","Wenn du Magie ausprobieren möchtest, kann ich dir Zaubersprüche beibringen und Schriftrollen und Stäbe verkaufen.                                                                                                                     ","DIA_Kaplan_HELLO1_03_08"

"","","","DIA_Karczmarz_ZACHWYT1"
"Romulus","Ich möchte lernen, wie ich die Zuschauer während meiner Kämpfe beeindrucke.                                                                                                                     ","DIA_Karczmarz_ZACHWYT1_15_01"

"","","","DIA_NAUCZYCIEL_TAUNTLEARN"
"Romulus","Lehre mich den Kampfschrei, einen Schrei, der meinen Gegner von den Füßen reißen wird.                                                                                                                     ","DIA_NAUCZYCIEL_TAUNTLEARN_15_01"
"Combat teacher","","Denke natürlich daran, dass es viel Energie von dir erfordert. Deine Stärke bestimmt den potenziellen Schaden, der deinen Gegner zugefügt wird.                                                                                                                     ","DIA_NAUCZYCIEL_TAUNTLEARN_03_02"
"Combat teacher","","Das kann ich dir nicht beibringen.                                                                                                                     ","DIA_NAUCZYCIEL_TAUNTLEARN_03_03"

"","","","DIA_Kaplan_REGHP"
"Romulus","Lehre mich Regeneration.                                                                                                                     ","DIA_Kaplan_REGHP_15_01"
"Mage","","Natürlich, mein Sohn. Wisse, dass der Körper sich selbst heilt. Greife nicht in natürliche Gesundheitsprozesse ein.                                                                                                                     ","DIA_Kaplan_REGHP_03_02"
"Mage","","Ignorieren die Signale deines Körpers nicht und nehme keine Positionen ein, die plötzliche Schmerzen verursachen.                                                                                                                     ","DIA_Kaplan_REGHP_03_03"
"Mage","","Atme tief und gleichmäßig. Dadurch wirst du das innere Feuer spüren.                                                                                                                     ","DIA_Kaplan_REGHP_03_04"
"Romulus","Verstehe.                                                                                                                     ","DIA_Kaplan_REGHP_15_05"
"Mage","","Das kann ich dir nicht beibringen.                                                                                                                     ","DIA_Kaplan_REGHP_03_06"

"","","","DIA_ForestKowal_GANDLER"
"Romulus","Zeig mir deine Waffen.                                                                                                                     ","DIA_ForestKowal_GANDLER_15_01"

"","","","","DIA_ForestKaplan_HELLO1"
"(COMBINED: This dialogue contains speeches which are used in combination to create another dialogues depend of player decisions. That's why, not all speeches are sequential. Partially this dialogue is sequential, but please don't treat in this way enterily dialogue.)"
"Mage","Oh, hallo ein weiterer Gladiator. Woher kommst du?                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_01"
"Romulus","","Hallo Magier. Aus dem Dorf Gallen, ich habe ich dort den Champion besiegt.                                                                                                                     ","DIA_ForestKaplan_HELLO1_15_02"
"Mage","Das Dorf Gallen? Hast du den dortigen Magier getroffen?                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_03"
"Romulus","","Ja habe ich.                                                                                                                     ","DIA_ForestKaplan_HELLO1_15_04"
"Mage","Also wisse, dass ich die gleiche Arbeit mache wie mein Mitbruder.                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_05"
"Mage","Wir haben die Pflicht zu beten, zu lehren, die Kranken zu heilen und im Kampf gegen das Böse zu helfen.                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_06"
"Mage","Überall dort, wo Menschen leben. Auch hier.                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_07"
"Romulus","","Bisher ist mir aber nichts passiert.                                                                                                                    ","DIA_ForestKaplan_HELLO1_15_08"
"Mage","Es ist erstaunlich, dass du es ohne seine Hilfe geschafft hast, Champion zu werden.                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_09"
"Mage","Ich kann sehen, dass du auf das achtest, was ich sage. Dies ist eine der Möglichkeiten, sich Wissen schneller anzueignen.                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_10"
"Mage","So kann ich dir beibringen, Wissen noch leichter aufzunehmen.                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_11"                                                                                                              ","DIA_ForestKaplan_HELLO1_03_11"


"","","","DIA_TRENER_STUDYTEACH"
"Romulus","Bring mir bei, wie ich schneller Wissen erwerben kann.                                                                                                                     ","DIA_TRENER_STUDYTEACH_15_01"

"","","","DIA_Zlotnik_HELLO1"
"Goldsmith","","Hallo Gladiator!                                                                                                                     ","DIA_Zlotnik_HELLO1_03_01"
"Romulus","Was ist los?                                                                                                                     ","DIA_Zlotnik_HELLO1_15_02"
"Goldsmith","","Ich bin der Goldschmied. Ich handel mit Schmuck.                                                                                                                     ","DIA_Zlotnik_HELLO1_03_03"
"Goldsmith","","Ich kann dir Ringe und Amulette verkaufen, die dir im Kampf helfen können!                                                                                                                     ","DIA_Zlotnik_HELLO1_03_04"
"Romulus","Das wird sicher nützlich sein.                                                                                                                     ","DIA_Zlotnik_HELLO1_15_05"

"","","","DIA_Bibliotekarz_HELLO1"
"Librarian","","Hallo, wenn du mehr Wissen erlernen willst, lade ich dich ein, in meinem Angebot an Büchern zu stöbern.                                                                                                                     ","DIA_Bibliotekarz_HELLO1_03_01"
"Romulus","Ich lese nicht gern.                                                                                                                     ","DIA_Bibliotekarz_HELLO1_15_02"
"Librarian","","Aber das sind keine gewöhnlichen Bücher, Märchen oder andere Seifenopern, sondern ein echter Wissensschatz!                                                                                                                     ","DIA_Bibliotekarz_HELLO1_03_03"
"Librarian","","Sie sie dir an!                                                                                                                     ","DIA_Bibliotekarz_HELLO1_03_04"

"","","","DIA_Igor_HELLO1"
"Igor","","Hallo du! Warum bist du hier oben, huh?                                                                                                                     ","DIA_Igor_HELLO1_03_01"
"Romulus","Ich schaue mich nur um.                                                                                                                     ","DIA_Igor_HELLO1_15_02"
"Igor","","Ich sehe mich um." Gibt es hier wirklich keine interessanteren Orte mehr zu sehen"?                                                                                                                     ","DIA_Igor_HELLO1_03_03"
"Igor","","Außerdem, wer bist du?                                                                                                                     ","DIA_Igor_HELLO1_03_04"
"Igor","","Geh von hier runter, vier Leute auf dieser Plattform sind viel zu viel.                                                                                                                     ","DIA_Igor_HELLO1_03_05"
"Romulus","Hier ist tatsächlich viel los…                                                                                                                     ","DIA_Igor_HELLO1_15_06"
"Igor","","Jeden Tag ein wenig mehr. Und wir MÜSSEN hier stehen, sonst enden wir wie diese Sklaven da unten.                                                                                                                     ","DIA_Igor_HELLO1_03_07"
"Romulus","Hast du mit Proxemo über den Zustand dieser Plattform gesprochen?                                                                                                                     ","DIA_Igor_HELLO1_15_08"
"Igor","","Proxemo spricht nicht mit irgendeiner Wache.                                                                                                                     ","DIA_Igor_HELLO1_03_09"
"Igor","","Du bist ein Gladiator, richtig?                                                                                                                     ","DIA_Igor_HELLO1_03_10"
"Romulus","Ja.                                                                                                                     ","DIA_Igor_HELLO1_15_11"
"Igor","","Wenn es dir gelingt, mit Proxemo zu sprechen, erwähne die Bedingungen, unter denen wir arbeiten müssen.                                                                                                                     ","DIA_Igor_HELLO1_03_12"
"Igor","","Lass ihn von seinem fetten Arsch hochkommen und etwas dagegen unternehmen, denn irgendwann wird sie zusammenbrechen.                                                                                                                     ","DIA_Igor_HELLO1_03_13"
"Igor","","Außerdem, warum erzähle ich das einem Sklaven? WEG HIER!                                                                                                                     ","DIA_Igor_HELLO1_03_14"

"","","","DIA_Igor_HELLO2"
"Romulus","Ich habe mit Proxemo gesprochen.                                                                                                                     ","DIA_Igor_HELLO2_15_01"
"Igor","","Ich weiß nicht, wie du es geschafft hast, seinen Kopf zu beschäftigen, aber sagen mir, was er dir gesagt hat.                                                                                                                     ","DIA_Igor_HELLO2_03_02"
"Romulus","Es ist ihm egal. Er sagt, die Plattform sieht aus wie immer.                                                                                                                     ","DIA_Igor_HELLO2_15_03"
"Igor","","Was für ein Idiot!                                                                                                                     ","DIA_Igor_HELLO2_03_04"
"Igor","","Ich muss einen Holzfäller oder jemanden finden, der mir alleine hilft.                                                                                                                     ","DIA_Igor_HELLO2_03_05"
"Romulus","Ich werde mich darum kümmern.                                                                                                                     ","DIA_Igor_HELLO2_15_06"
"Igor","","Du? Und warum?                                                                                                                     ","DIA_Igor_HELLO2_03_07"
"Romulus","Könntest du mich irgendwie für meine Bemühungen belohnen?                                                                                                                     ","DIA_Igor_HELLO2_15_08"
"Igor","","Ich werde alles in meiner Macht Stehende tun.                                                                                                                     ","DIA_Igor_HELLO2_03_09"
"Romulus","Ich werde versuchen, etwas herauszufinden, warte.                                                                                                                     ","DIA_Igor_HELLO2_15_10"

"","","","DIA_Igor_HELLO3"
"Romulus","Ich war beim Holzfäller.                                                                                                                     ","DIA_Igor_HELLO3_15_01"
"Igor","","Welcher Holzfäller?                                                                                                                     ","DIA_Igor_HELLO3_03_02"
"Igor","","Der Möchtegern-Besitzer eines Sägewerks in der Stadt, der es zuerst verkauft und dann das ganze Geld, das er verdient hat, in Wetten geblasen hat?                                                                                                                     ","DIA_Igor_HELLO3_03_03"
"Romulus","Ja, genau den meine ich.                                                                                                                     ","DIA_Igor_HELLO3_15_04"
"Igor","","Und was ist mit ihm?                                                                                                                     ","DIA_Igor_HELLO3_03_05"
"Romulus","Wenn er 500 Gold im Voraus bekommt, kümmert er sich um die Plattform.                                                                                                                     ","DIA_Igor_HELLO3_15_06"
"Igor","","500 Gold?!                                                                                                                     ","DIA_Igor_HELLO3_03_07"
"Igor","","Verdammt, wo bekomme ich diese Summe her? Ich habe nur 150 Münzen, mehr nicht.                                                                                                                     ","DIA_Igor_HELLO3_03_08"
"Romulus","Gebt mir diese Münzen und ich erledige den Rest.                                                                                                                     ","DIA_Igor_HELLO3_15_09"
"Igor","","Ich vertraue dir, aber du weißt, was passiert, wenn du mit meinem Gold davonläufst.                                                                                                                     ","DIA_Igor_HELLO3_03_10"
"Igor","","Hier ist ein Beutel, und versuche, es schnell zu erledigen.                                                                                                                     ","DIA_Igor_HELLO3_03_11"

"","","","DIA_Igor_HELLO4"
"Igor","","Höre ich wirklich das Geräusch von Nägeln?                                                                                                                     ","DIA_Igor_HELLO4_03_01"
"Romulus","Ja, der Holzfäller hat mit der Verstärkung der Stützen begonnen.                                                                                                                     ","DIA_Igor_HELLO4_15_02"
"Igor","","Du hast es also geschafft? Das ist unglaublich.                                                                                                                     ","DIA_Igor_HELLO4_03_03"
