"CHARACTER DESCRIPTION"
"Captain of the Guards, he is currently stationed in Rainwood Forest. He is disciplined, though remains human at the same time. He is relatively easy to annoy, although he appreciates people. He does not exalt himself."

"","","","","DIA_Recker_HELLO1"
"Recker","Gladiator!                                                                                                                     ","DIA_Recker_HELLO1_03_01"
"Romulus","","Ja?                                                                                                                     ","DIA_Recker_HELLO1_15_02"
"Recker","Ich bin Recker, Hauptmann der Wache hier.                                                                                                                     ","DIA_Recker_HELLO1_03_03"
"Recker","Lord Tameron hat mich mit einem Vorschlag zu dir geschickt. Natürlich springt für dich auch was dabei heraus.                                                                                                                     ","DIA_Recker_HELLO1_03_04"
"Romulus","","Ich höre.                                                                                                                     ","DIA_Recker_HELLO1_15_05"
"Recker","Wir haben ein riesiges Problem mit Banditen, und es wird immer schlimmer.                                                                                                                     ","DIA_Recker_HELLO1_03_06"
"Recker","Wir müssen die Sicherheit unserer Besucher der Arena aus den entlegensten Winkeln des Königreichs gewährleisten.                                                                                                                     ","DIA_Recker_HELLO1_03_07"
"Recker","Keiner von ihnen darf ein Haar gekrümmt werden!                                                                                                                     ","DIA_Recker_HELLO1_03_08"
"Recker","Und diese Schläger vermehren sich wie Kaninchen. Unsere Späher haben ihr Hauptquartier ausfindig gemacht.                                                                                                                     ","DIA_Recker_HELLO1_03_09"
"Recker","Als der Bote eintraf, um den König um Verstärkung zu bitten, hätte es noch viel schlimmer kommen können.                                                                                                                     ","DIA_Recker_HELLO1_03_10"
"Recker","Wir haben nicht genug Leute. Wir werden es schwer haben, dieses Lager anzugreifen.                                                                                                                     ","DIA_Recker_HELLO1_03_11"
"Recker","Deshalb habe ich einen Vorschlag für dich.                                                                                                                     ","DIA_Recker_HELLO1_03_12"
"Recker","Trage dich für eine Weile in meine Einheit ein.                                                                                                                     ","DIA_Recker_HELLO1_03_13"
"Recker","Natürlich wirst du weiterhin in der Arena kämpfen, ich will dich nur als Söldner anheuern.                                                                                                                     ","DIA_Recker_HELLO1_03_14"
"Recker","Hilfst du uns, diese Banditen zu erledigen?                                                                                                                     ","DIA_Recker_HELLO1_03_15"
"Recker","Wenn wir sie besiegen, fallen dreitausend Goldmünzen in deinen Beutel.                                                                                                                     ","DIA_Recker_HELLO1_03_16"

"","","","","DIA_Recker_HELLO1_A1"
"Romulus","","Ich stimme zu. Erzähle mir die Details.                                                                                                                     ","DIA_Recker_HELLO1_A1_15_01"
"Recker","Es ist einfach. Wenn du willst, können wir übermorgen angreifen!                                                                                                                     ","DIA_Recker_HELLO1_A1_03_02"
"Recker","Die Banditen wissen nichts von unseren Angriffsplänen, die werden uns nicht erwarten, also haben wir etwas Zeit zum Nachdenken.                                                                                                                     ","DIA_Recker_HELLO1_A1_03_03"
"Recker","Komm nach deinem nächsten Kampf zu mir, ich gebe dir einen Angriffsplan.                                                                                                                     ","DIA_Recker_HELLO1_A1_03_04"
"Recker","Du findet mich vor Lord Tamerons Zelt.                                                                                                                     ","DIA_Recker_HELLO1_A1_03_05"

"","","","","DIA_Recker_HELLO1_A2"
"Romulus","","Ich will es nicht riskieren, tut mir leid, aber ich muss ablehnen.                                                                                                                     ","DIA_Recker_HELLO1_A2_15_01"
"Recker","Ha! Großer Romulus, Gladiator, erbärmlich.                                                                                                                     ","DIA_Recker_HELLO1_A2_03_02"
"Recker","Hoffentlich wachst du nicht mit dem Breitschwert eines Banditen im Arsch auf!                                                                                                                     ","DIA_Recker_HELLO1_A2_03_03"

"","","","","DIA_Recker_NOTYET"
"Romulus","","Ich will den Angriffsplan wissen.                                                                                                                     ","DIA_Recker_NOTYET_15_01"
"Recker","Ich sagte in 2 Tagen. Also nach deinem nächsten Kampf.                                                                                                                     ","DIA_Recker_NOTYET_03_02"

"","","","","DIA_Recker_ATAKJUJ"
"Recker","Folge mir.                                                                                                                     ","DIA_Recker_ATAKJUJ_03_02"
"Recker","Ich sagte übermorgen. Aber okay, wir sind noch nicht los gegangen.                                                                                                                     ","DIA_Recker_ATAKJUJ_03_03"
"Recker","Ich sagte übermorgen, nicht irgendwann.                                                                                                                     ","DIA_Recker_ATAKJUJ_03_04"
"Recker","Betritt das Zelt, ich erkläre dir den Angriffsplan, und los geht's.                                                                                                                     ","DIA_Recker_ATAKJUJ_03_05"

"","","","","DIA_Recker_TOOLATE"
