"CHARACTER DESCRIPTION"
"Owner of an arena in the village of Gallen. He is old, but he still cares about money. He stopped running the farm because it was no longer profitable; he took to running the arena. He is resolute. He counts with others. He's hiding something."

"","","","","DIA_Starszy_HELLO1"
"Elder","Ein neuer in meinem Dorf? Es ist selten, dass hier jemand Neues auftaucht.                                                                                                                     ","DIA_Starszy_HELLO1_03_01"
"Elder","Was führt dich hierher, Fremder?                                                                                                                     ","DIA_Starszy_HELLO1_03_02"
"Romulus","","Ich will in der Arena kämpfen.                                                                                                                     ","DIA_Starszy_HELLO1_15_03"
"Elder","Haha, Unsinn!                                                                                                                     ","DIA_Starszy_HELLO1_03_04"
"Elder","Wer bist du, mich zu bitten dich in die Arena zu lassen? Niemand kennt dich.                                                                                                                     ","DIA_Starszy_HELLO1_03_05"
"Elder","Das ist ein Geschäft! Ich brauche bekannte Teilnehmer.                                                                                                                     ","DIA_Starszy_HELLO1_03_06"
"Romulus","","Ok? Proxemo warf gewöhnliche Sklaven in die Arena und es funktionierte, jeder wollte es sehen.                                                                                                                     ","DIA_Starszy_HELLO1_15_07"
"Elder","Ich bin nicht Proxemo! Kein Sklave wird in meiner Arena kämpfen!                                                                                                                     ","DIA_Starszy_HELLO1_03_08"
"Romulus","","Wer kämpft hier also?                                                                                                                     ","DIA_Starszy_HELLO1_15_09"
"Elder","Bauern, Viehzüchter, Menschen aus den umliegenden Dörfern, die auf der Suche nach leichtem Geld sind und nicht ihr ganzes Leben lang auf dem Feld pflügen wollen.                                                                                                                     ","DIA_Starszy_HELLO1_03_10"
"Romulus","","Und der Champion von Gladiatoren Bucht?                                                                                                                     ","DIA_Starszy_HELLO1_15_11"
"Elder","(zu sich selbst) Wo ist er? Hermes? Ich habe ihn hier schon lange nicht mehr gesehen.                                                                                                                     ","DIA_Starszy_HELLO1_03_12"
"Romulus","","Hermes ist tot, Proxemo auch.                                                                                                                     ","DIA_Starszy_HELLO1_15_13"
