"CHARACTER DESCRIPTION"
"teacher"

"","","","","DIA_Nauczyciel2_HELLO1"
"Attributes teacher","Hallo, ich sehe ein neues Gesicht.                                                                                                                     ","DIA_Nauczyciel2_HELLO1_03_01"
"Attributes teacher","Schau, wenn du den morgigen Kampf überleben willst, empfehle ich dir, deine Fähigkeiten ein wenig zu verbessern.                                                                                                                     ","DIA_Nauczyciel2_HELLO1_03_02"
"Attributes teacher","Wenn du das Geld und die Erfahrung hast, kann ich dir helfen, deine Attribute wie Kraft, Beweglichkeit, Ausdauer und Vitalität zu steigern.                                                                                                                     ","DIA_Nauczyciel2_HELLO1_03_03"
"Attributes teacher","Lass es mich wissen, wenn du meine Tipps brauchst.                                                                                                                     ","DIA_Nauczyciel2_HELLO1_03_04"

"","","","","DIA_Nauczyciel2_HELTH_A1"
"Attributes teacher","Wie du meinst.                                                                                                                     ","DIA_Nauczyciel2_HELTH_A1_03_01"
"Attributes teacher","Das kann ich dir nicht beibringen!                                                                                                                     ","DIA_Nauczyciel2_HELTH_A1_03_02"

"","","","","DIA_Nauczyciel2_STAMINALERN_CC1"
"Attributes teacher","Du bist schon besser geworden!                                                                                                                     ","DIA_Nauczyciel2_STAMINALERN_CC1_03_01"

"","","","",""

