"","","","","DIA_Hergan_HELLO1"
"Hergan","Hoho! Champion der Arenen, mein Respekt!                                                                                                                     ","DIA_Hergan_HELLO1_03_01"
"Hergan","Ich bin Hergan, ein Deserteur.                                                                                                                     ","DIA_Hergan_HELLO1_03_02"
"Romulus","","Hallo, schön dich kennenzulernen.                                                                                                                     ","DIA_Hergan_HELLO1_15_03"
"Hergan","Wie ist die Stimmung vor dem Angriff auf die Banditen?                                                                                                                     ","DIA_Hergan_HELLO1_03_04"
"Romulus","","Ganz okay, aber ich würde das lieber hinter mich bringen.                                                                                                                     ","DIA_Hergan_HELLO1_15_05"
"Hergan","Ich auch, und deshalb freue ich mich auf morgen.                                                                                                                     ","DIA_Hergan_HELLO1_03_06"
"Hergan","Lass mir dir einen Rat geben, dieses Lager liegt seltsamerweise auf einem Hügel.                                                                                                                     ","DIA_Hergan_HELLO1_03_07"
"Hergan","Wenn du dich vor den Pfeilen eines Bogens verstecken willst, verstecke dich auf der gegenüberliegenden Seite des Hügels, wo der Bogenschütze steht.                                                                                                                     ","DIA_Hergan_HELLO1_03_08"
"Romulus","","Das werde ich mir merken, danke!                                                                                                                     ","DIA_Hergan_HELLO1_15_09"

"","","","",""

